id,movie_name,year,directors,actors,rate,star,src,cover,douban_id
0,破局者,2019,王冕,江川客/邝晓彤/徐瑞霖,,0,https://movie.douban.com/subject/30447478/,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png,30447478
1,Amanda Seales: I Be Knowin',2019,,阿曼达·锡莱斯,,0,https://movie.douban.com/subject/30430703/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2546410918.webp,30430703
2,风吹红河谷,2019,陈雄/崔可昂,,,0,https://movie.douban.com/subject/34851664/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2570905039.webp,34851664
3,洛桑的家事,2019,,,,0,https://movie.douban.com/subject/30302348/,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png,30302348
4,兮笑姻缘,2019,王长虹,严梓豪/崔雅涵/王子奇/王浩宇,,0,https://movie.douban.com/subject/33427812/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2554803118.webp,33427812
5,"""The Metropolitan Opera HD Live"" Puccini: Madama Butterfly",2019,,Hui He/Elizabeth DeShong/Andrea Carè/Paulo Szot,,0,https://movie.douban.com/subject/34852701/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2571061473.webp,34852701
6,2019年MTV欧洲音乐大奖,2019,保罗·达格代尔,哈尔希/贝姬·戈麦斯/杜阿·利帕/尼奥·贺兰/利亚姆·加拉格尔,,0,https://movie.douban.com/subject/34882946/,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png,34882946
7,K-Pop Idols: Inside the Hit Factory,2019,,James Ballardie,,0,https://movie.douban.com/subject/34881041/,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png,34881041
8,崩坏3 希儿,2019,Geister,唐雅菁,,0,https://movie.douban.com/subject/34880292/,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png,34880292
9,第24届釜山国际电影节颁奖典礼,2019,,迈克·菲吉斯/萨梅尔·叶斯利亚莫娃/李心洁/郑雨盛/林大迥,,0,https://movie.douban.com/subject/34815479/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567926925.webp,34815479
10,娃娃公墓,2019,Steven M. Smith,Steven M. Smith/Rad Robinson,,0,https://movie.douban.com/subject/33374957/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2551584198.webp,33374957
11,安息3：掘墓,2019,罗伯特·霍尔,,,0,https://movie.douban.com/subject/30464772/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2548691312.webp,30464772
12,爆笑神灯,2019,周文明,彭磊/谭卓,,0,https://movie.douban.com/subject/34822355/,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png,34822355
13,初恋补时,2019,河合勇人,板垣瑞生/吉柳咲良/竹内凉真/石桥杏奈/甲本雅裕,,0,https://movie.douban.com/subject/30463683/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2556860282.webp,30463683
14,一切胜利,2019,艾哈迈德·戈赛因,,,0,https://movie.douban.com/subject/34659780/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567965391.webp,34659780
15,高冷校花会功夫,2019,李果,栾蕾英,,0,https://movie.douban.com/subject/34795575/,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png,34795575
16,那个阳光灿烂的夏天,2019,舒小敏,张轩鸣/郎恬墨/王宣雯,,0,https://movie.douban.com/subject/34436738/,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png,34436738
17,芬奇达,2019,史瑞吉特·穆克吉,阿尼尔班·巴塔查尔吉/瑞第克·查克拉博蒂/瑞迪·森/鲁德罗尼尔·高什/索希妮·肖卡尔,,0,https://movie.douban.com/subject/34795668/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2565753214.webp,34795668
18,威廉姆,2019,Tim Disney/Tim Disney,玛丽亚·迪齐亚/苏珊·朴/威尔·布里顿/摩根·泰勒·坎贝尔/克里斯蒂安·康佛瑞,,0,https://movie.douban.com/subject/26999910/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2571859816.webp,26999910
19,死亡低语,2019,Awi Suryadi,Unique Priscilla,,0,https://movie.douban.com/subject/30473261/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2553275320.webp,30473261
20,心机少女,2019,马丁·隆德,亨瑞克·拉斐尔森/艾丽·瑞亚侬·穆勒·奥斯本,,0,https://movie.douban.com/subject/30301263/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2545754574.webp,30301263
21,2018年度叱咤乐坛流行榜颁奖典礼,2019,,谢安琪/麦浚龙/容祖儿/张敬轩/周柏豪 ,,0,https://movie.douban.com/subject/34845701/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570042385.webp,34845701
22,忠孝节义,2019,杨丽花,杨丽花/陈亚兰,,0,https://movie.douban.com/subject/34851303/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570892400.webp,34851303
23,Simple Women,2019,Chiara Malta,,,0,https://movie.douban.com/subject/34825507/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2573907824.webp,34825507
