index:ID,actor,:LABEL
30000,杰伊·巴鲁切尔,演员表
30001,维果·莫腾森,演员表
30002,布拉德·皮特,演员表
30003,李·科布,演员表
30004,拉尔夫·费因斯,演员表
30005,凯特·温丝莱特,演员表
30006,艾米丽雅·福克斯,演员表
30007,夏雨,演员表
30008,玛丽·麦克唐纳,演员表
30009,本·贝尔特,演员表
30010,三船敏郎,演员表
30011,杰米·福克斯,演员表
30012,汤姆·汉克斯,演员表
30013,约翰·C·赖利,演员表
30014,凯特·布兰切特,演员表
30015,阿尔·帕西诺,演员表
30016,柏原崇,演员表
30017,盖尔·加西亚·贝纳尔,演员表
30018,詹妮弗·康纳利,演员表
30019,马修·布罗德里克,演员表
30020,耿乐,演员表
30021,宋康昊,演员表
30022,文森·卡索,演员表
30023,吴念真,演员表
30024,秦岚,演员表
30025,瑛太,演员表
30026,摩根·弗里曼,演员表
30027,克拉克·盖博,演员表
30028,伊利亚·伍德,演员表
30029,艾丽莎·奈特,演员表
30030,奥黛丽·赫本,演员表
30031,约瑟夫·高登-莱维特,演员表
30032,喜剧,演员表
30033,艾伦·波斯蒂恩,演员表
30034,凯文·科斯特纳,演员表
30035,阿德里安·布洛迪,演员表
30036,桥本爱,演员表
30037,蒂姆·罗斯,演员表
30038,连姆·尼森,演员表
30039,爱德华·诺顿,演员表
30040,克里斯托弗·瓦尔兹,演员表
30041,阿米尔·汗,演员表
30042,朱丽·安德鲁斯,演员表
30043,日高法子,演员表
30044,克里斯蒂安·贝尔,演员表
30045,格利高里·派克,演员表
30046,姜文,演员表
30047,玛德琳·卡罗尔,演员表
30048,中谷美纪,演员表
30049,松隆子,演员表
30050,伊尔凡·可汗,演员表
30051,罗伯托·贝尼尼,演员表
30052,埃米尔·赫斯基,演员表
30053,爱德华·阿斯纳,演员表
30054,松田洋治,演员表
30055,雨果·维文,演员表
30056,短片,演员表
30057,理查·基尔,演员表
30058,萨姆·沃辛顿,演员表
30059,徐峥,演员表
30060,乌玛·瑟曼,演员表
30061,Alexandre Rodrigues,演员表
30062,京町子,演员表
30063,莱昂纳多·迪卡普里奥,演员表
30064,费雯·丽,演员表
30065,马修·麦康纳,演员表
30066,周一围,演员表
30067,让·雷诺,演员表
30068,蕾拉·哈塔米,演员表
30069,布尔维尔,演员表
30070,罗伯特·德尼罗,演员表
30071,鲁伯特·格林特,演员表
30072,安妮·海瑟薇,演员表
30073,奥黛丽·塔图,演员表
30074,法缇玛·萨那·纱卡,演员表
30075,汤姆·哈迪,演员表
30076,奥马·希,演员表
30077,克里斯·奥唐纳,演员表
30078,杰克·尼科尔森,演员表
