index:ID,actor,:LABEL
30000,蒂姆·罗斯,演员表
30001,卡兰·麦克奥利菲,演员表
30002,格利高里·派克,演员表
30003,英格丽·褒曼,演员表
30004,玛丽·麦克唐纳,演员表
30005,罗宾·莱特,演员表
30006,日高法子,演员表
30007,阿尔伯特·芬尼,演员表
30008,姜宏波,演员表
30009,杰森·弗莱明,演员表
30010,夏雨,演员表
30011,克里斯托弗·瓦尔兹,演员表
30012,郑有美,演员表
30013,蒂姆·艾伦,演员表
30014,佐伊·索尔达娜,演员表
30015,动画,演员表
30016,松隆子,演员表
30017,珍妮特·利,演员表
30018,凯特·温丝莱特,演员表
30019,德克斯特·弗莱彻,演员表
30020,伊桑·霍克,演员表
30021,劳拉·琳妮,演员表
30022,凯文·科斯特纳,演员表
30023,杰伊·巴鲁切尔,演员表
30024,阿米尔·汗,演员表
30025,詹姆斯·伍兹,演员表
30026,奥瑞安西,演员表
30027,伊尔凡·可汗,演员表
30028,奥马·希,演员表
30029,埃米尔·赫斯基,演员表
30030,克林特·伊斯特伍德,演员表
30031,马西娅·盖伊·哈登,演员表
30032,鲁伯特·格林特,演员表
30033,朱迪·福斯特,演员表
30034,贾登·史密斯,演员表
30035,约翰·特拉沃尔塔,演员表
30036,马修斯·纳克加勒,演员表
30037,奥黛丽·塔图,演员表
30038,李·科布,演员表
30039,克拉克·盖博,演员表
30040,摩根·弗里曼,演员表
30041,短片,演员表
30042,梁朝伟,演员表
30043,詹妮弗·康纳利,演员表
30044,杰米·福克斯,演员表
30045,葛优,演员表
30046,张国荣,演员表
30047,桥本爱,演员表
30048,姜文,演员表
30049,喜剧,演员表
30050,马修·布罗德里克,演员表
30051,拉尔夫·费因斯,演员表
30052,安东尼·冈萨雷兹,演员表
30053,萨拉·罗默尔,演员表
30054,佩曼·莫阿迪,演员表
30055,金相庆,演员表
30056,蒂姆·罗宾斯,演员表
30057,尚-巴堤·莫里耶,演员表
30058,杰拉尔·朱诺,演员表
30059,马德哈万,演员表
30060,阿尔·帕西诺,演员表
30061,三船敏郎,演员表
30062,金燕玲,演员表
30063,石田百合子,演员表
30064,尼可莱塔·布拉斯基,演员表
30065,入野自由,演员表
30066,崔岷植,演员表
30067,赛巴斯汀·柯赫,演员表
30068,里克·奥巴瑞,演员表
30069,雅克·贝汉,演员表
30070,理查·基尔,演员表
30071,柏原崇,演员表
30072,巩俐,演员表
30073,文森·卡索,演员表
30074,朱丽·德尔比,演员表
30075,凯特·布兰切特,演员表
30076,安东尼·霍普金斯,演员表
30077,克里斯托弗·普卢默,演员表
30078,维果·莫腾森,演员表
30079,田中真弓,演员表
30080,中山美穗,演员表
30081,薇诺娜·瑞德,演员表
30082,伊利亚·伍德,演员表
30083,让-马克·巴尔,演员表
30084,让·雷诺,演员表
30085,费雯·丽,演员表
30086,布尔维尔,演员表
30087,汤姆·汉克斯,演员表
30088,朱丽·安德鲁斯,演员表
30089,詹姆斯·厄尔·琼斯,演员表
30090,斯碧尔·谢波德,演员表
30091,伊恩·麦克莱恩,演员表
30092,菲利普·塞默·霍夫曼,演员表
30093,杰森·贝特曼,演员表
30094,孔侑,演员表
30095,艾伦·波斯蒂恩,演员表
30096,梅尔·吉布森,演员表
30097,亨弗莱·鲍嘉,演员表
30098,艾丽莎·奈特,演员表
30099,希斯·莱杰,演员表
30100,伊万·麦克格雷格,演员表
30101,杰拉德·巴特勒,演员表
30102,娜塔莉·波特曼,演员表
30103,雨果·维文,演员表
30104,宋康昊,演员表
30105,连姆·尼森,演员表
30106,徐峥,演员表
30107,苏拉·沙玛,演员表
30108,奥黛丽·赫本,演员表
30109,丹尼尔·雷德克里夫,演员表
30110,克里斯蒂安·贝尔,演员表
30111,约瑟夫·高登-莱维特,演员表
30112,刘智泰,演员表
30113,莱昂纳多·迪卡普里奥,演员表
30114,金·凯瑞,演员表
30115,玛德琳·卡罗尔,演员表
30116,路易丝·弗莱彻,演员表
30117,志村乔,演员表
30118,路易·德·菲耐斯,演员表
30119,乔丹·长井,演员表
30120,萨瓦特利·卡西欧,演员表
30121,弗朗索瓦·克鲁塞,演员表
30122,乌尔里希·穆埃,演员表
30123,路易·西霍尤斯,演员表
30124,马龙·白兰度,演员表
30125,普路特·泰勒·文斯,演员表
30126,凯瑞-安·莫斯,演员表
30127,横泽启子,演员表
30128,中谷美纪,演员表
30129,蕾拉·哈塔米,演员表
30130,金妮弗·古德温,演员表
30131,菲利浦·诺瓦雷,演员表
30132,罗素·克劳,演员表
30133,萨姆·沃辛顿,演员表
30134,乌玛·瑟曼,演员表
30135,大卫·摩斯,演员表
30136,布拉德·皮特,演员表
30137,罗伯特·德尼罗,演员表
30138,迈克尔·杰克逊,演员表
30139,张丰毅,演员表
30140,安妮·海瑟薇,演员表
30141,阿德里安·布洛迪,演员表
30142,威尔·史密斯,演员表
30143,苏菲·玛索,演员表
30144,秦岚,演员表
30145,吴念真,演员表
30146,松田洋治,演员表
30147,汤姆·哈迪,演员表
30148,刘德华,演员表
30149,约翰·C·赖利,演员表
30150,本·贝尔特,演员表
30151,周一围,演员表
30152,Alexandre Rodrigues,演员表
30153,亨利·方达,演员表
30154,盖尔·加西亚·贝纳尔,演员表
30155,京町子,演员表
30156,柊瑠美,演员表
30157,瑛太,演员表
30158,马修·麦康纳,演员表
30159,罗宾·威廉姆斯,演员表
30160,艾米丽雅·福克斯,演员表
30161,爱德华·诺顿,演员表
30162,萨拉·丝沃曼,演员表
30163,基努·里维斯,演员表
30164,克里斯·奥唐纳,演员表
30165,法缇玛·萨那·纱卡,演员表
30166,罗伯托·贝尼尼,演员表
30167,约翰尼·德普,演员表
30168,耿乐,演员表
30169,爱德华·阿斯纳,演员表
30170,安东尼·博金斯,演员表
30171,杰瑞德·莱托,演员表
30172,托妮·科莱特,演员表
30173,马修·卡索维茨,演员表
30174,杰克·尼科尔森,演员表
