:START_ID,:END_ID,relation,:TYPE
20006,30056,相关,相关
20006,30040,相关,相关
20012,30113,相关,相关
20012,30111,相关,相关
20057,30087,相关,相关
20057,30005,相关,相关
20048,30105,相关,相关
20048,30051,相关,相关
20017,30124,相关,相关
20017,30060,相关,相关
20066,30068,相关,相关
20066,30123,相关,相关
20002,30150,相关,相关
20002,30098,相关,相关
20025,30084,相关,相关
20025,30102,相关,相关
20012,30110,相关,相关
20012,30099,相关,相关
20064,30046,相关,相关
20064,30139,相关,相关
20042,30131,相关,相关
20042,30120,相关,相关
20000,30085,相关,相关
20000,30039,相关,相关
20072,30052,相关,相关
20072,30154,相关,相关
20049,30153,相关,相关
20049,30038,相关,相关
20050,30156,相关,相关
20050,30065,相关,相关
20047,30113,相关,相关
20047,30018,相关,相关
20031,30161,相关,相关
20031,30136,相关,相关
20018,30137,相关,相关
20018,30025,相关,相关
20017,30060,相关,相关
20017,30137,相关,相关
20043,30069,相关,相关
20043,30048,相关,相关
20041,30061,相关,相关
20041,30117,相关,相关
20047,30133,相关,相关
20047,30014,相关,相关
20042,30000,相关,相关
20042,30125,相关,相关
20058,30024,相关,相关
20058,30059,相关,相关
20012,30158,相关,相关
20012,30140,相关,相关
20012,30110,相关,相关
20012,30147,相关,相关
20074,30107,相关,相关
20074,30027,相关,相关
20039,30172,相关,相关
20039,30092,相关,相关
20020,30070,相关,相关
20020,30053,相关,相关
20014,30138,相关,相关
20014,30026,相关,相关
20027,30106,相关,相关
20027,30151,相关,相关
20044,30015,相关,相关
20044,30041,相关,相关
20044,30049,相关,相关
20021,30163,相关,相关
20021,30126,相关,相关
20051,30082,相关,相关
20051,30091,相关,相关
20059,30058,相关,相关
20059,30057,相关,相关
20037,30050,相关,相关
20037,30089,相关,相关
20050,30144,相关,相关
20050,30006,相关,相关
20029,30108,相关,相关
20029,30002,相关,相关
20050,30079,相关,相关
20050,30127,相关,相关
20067,30174,相关,相关
20067,30116,相关,相关
20001,30048,相关,相关
20001,30008,相关,相关
20013,30104,相关,相关
20013,30055,相关,相关
20026,30088,相关,相关
20026,30077,相关,相关
20065,30145,相关,相关
20065,30062,相关,相关
20055,30022,相关,相关
20055,30030,相关,相关
20032,30169,相关,相关
20032,30119,相关,相关
20070,30037,相关,相关
20070,30173,相关,相关
20051,30082,相关,相关
20051,30078,相关,相关
20068,30035,相关,相关
20068,30134,相关,相关
20072,30087,相关,相关
20072,30013,相关,相关
20060,30115,相关,相关
20060,30001,相关,相关
20028,30080,相关,相关
20028,30071,相关,相关
20010,30130,相关,相关
20010,30093,相关,相关
20073,30060,相关,相关
20073,30164,相关,相关
20052,30141,相关,相关
20052,30160,相关,相关
20040,30009,相关,相关
20040,30019,相关,相关
20016,30159,相关,相关
20016,30020,相关,相关
20076,30045,相关,相关
20076,30072,相关,相关
20005,30024,相关,相关
20005,30165,相关,相关
20050,30146,相关,相关
20050,30063,相关,相关
20030,30121,相关,相关
20030,30028,相关,相关
20071,30095,相关,相关
20071,30171,相关,相关
20061,30128,相关,相关
20061,30157,相关,相关
20022,30129,相关,相关
20022,30054,相关,相关
20056,30094,相关,相关
20056,30012,相关,相关
20041,30061,相关,相关
20041,30155,相关,相关
20038,30022,相关,相关
20038,30004,相关,相关
20063,30097,相关,相关
20063,30003,相关,相关
20019,30170,相关,相关
20019,30017,相关,相关
20033,30086,相关,相关
20033,30118,相关,相关
20054,30166,相关,相关
20054,30064,相关,相关
20001,30048,相关,相关
20001,30045,相关,相关
20034,30142,相关,相关
20034,30034,相关,相关
20045,30066,相关,相关
20045,30112,相关,相关
20004,30167,相关,相关
20004,30081,相关,相关
20031,30136,相关,相关
20031,30075,相关,相关
20031,30136,相关,相关
20031,30040,相关,相关
20009,30096,相关,相关
20009,30143,相关,相关
20015,30148,相关,相关
20015,30042,相关,相关
20016,30114,相关,相关
20016,30021,相关,相关
20007,30109,相关,相关
20007,30032,相关,相关
20071,30102,相关,相关
20071,30073,相关,相关
20053,30023,相关,相关
20053,30101,相关,相关
20004,30100,相关,相关
20004,30007,相关,相关
20023,30033,相关,相关
20023,30076,相关,相关
20035,30102,相关,相关
20035,30103,相关,相关
20046,30132,相关,相关
20046,30043,相关,相关
20068,30044,相关,相关
20068,30011,相关,相关
20061,30016,相关,相关
20061,30047,相关,相关
20075,30136,相关,相关
20075,30076,相关,相关
20036,30149,相关,相关
20036,30162,相关,相关
20001,30010,相关,相关
20001,30168,相关,相关
20024,30036,相关,相关
20024,30152,相关,相关
20003,30122,相关,相关
20003,30067,相关,相关
20008,30029,相关,相关
20008,30031,相关,相关
20069,30046,相关,相关
20069,30042,相关,相关
20006,30087,相关,相关
20006,30135,相关,相关
20025,30083,相关,相关
20025,30084,相关,相关
20011,30137,相关,相关
20011,30090,相关,相关
20062,30020,相关,相关
20062,30074,相关,相关
