index:ID,director,:LABEL
20000,彼得·索恩,导演表
20001,克里斯托弗·诺兰,导演表
20002,朴赞郁,导演表
20003,赛尔乔·莱昂内,导演表
20004,亚当·艾略特,导演表
20005,罗曼·波兰斯基,导演表
20006,维克多·弗莱明,导演表
20007,王家卫,导演表
20008,莉莉·沃卓斯基,导演表
20009,弗朗西斯·福特·科波拉,导演表
20010,罗伯特·泽米吉斯,导演表
20011,罗伯特·怀斯,导演表
20012,姜文,导演表
20013,威廉·惠勒,导演表
20014,宫崎骏,导演表
20015,让-皮埃尔·热内,导演表
20016,刘伟强,导演表
20017,西恩·潘,导演表
20018,阿斯哈·法哈蒂,导演表
20019,克林特·伊斯特伍德,导演表
20020,岩井俊二,导演表
20021,雅克·贝汉,导演表
20022,莱塞·霍尔斯道姆,导演表
20023,路易·西霍尤斯,导演表
20024,罗伯托·贝尼尼,导演表
20025,黄东赫,导演表
20026,弗洛里安·亨克尔·冯·多纳斯马,导演表
20027,里奇·摩尔,导演表
20028,李·昂克里奇,导演表
20029,大卫·耶茨,导演表
20030,马丁·布莱斯特,导演表
20031,彼特·道格特,导演表
20032,史蒂文·斯皮尔伯格,导演表
20033,阿尔弗雷德·希区柯克,导演表
20034,马丁·斯科塞斯,导演表
20035,梅尔·吉布森,导演表
20036,彼得·杰克逊,导演表
20037,李安,导演表
20038,克里斯托夫·巴拉蒂,导演表
20039,安德鲁·斯坦顿,导演表
20040,吕克·贝松,导演表
20041,罗伯·莱纳,导演表
20042,迪恩·德布洛斯,导演表
20043,费尔南多·梅里尔斯,导演表
20044,盖·里奇,导演表
20045,理查德·林克莱特,导演表
20046,拉库马·希拉尼,导演表
20047,昆汀·塔伦蒂诺,导演表
20048,彼得·威尔,导演表
20049,詹姆斯·麦克提格,导演表
20050,加布里尔·穆奇诺,导演表
20051,肯尼·奥特加,导演表
20052,朗·霍华德,导演表
20053,中岛哲也,导演表
20054,大卫·芬奇,导演表
20055,陈凯歌,导演表
20056,尼特什·提瓦瑞,导演表
20057,蒂姆·波顿,导演表
20058,乔纳森·戴米,导演表
20059,杰拉尔·乌里,导演表
20060,文牧野,导演表
20061,奉俊昊,导演表
20062,张艺谋,导演表
20063,詹姆斯·卡梅隆,导演表
20064,拜恩·霍华德,导演表
20065,朱塞佩·托纳多雷,导演表
20066,达伦·阿罗诺夫斯基,导演表
20067,罗杰·艾勒斯,导演表
20068,杨德昌,导演表
20069,弗兰克·德拉邦特,导演表
20070,凯文·科斯特纳,导演表
20071,爱德华·兹威克,导演表
20072,米洛斯·福尔曼,导演表
20073,奥利维·那卡什,导演表
20074,西德尼·吕美特,导演表
20075,黑泽明,导演表
