:START_ID,:END_ID,relation,:TYPE
30056,10000,主演,主演
30040,10000,主演,主演
30113,10001,主演,主演
30111,10001,主演,主演
30087,10002,主演,主演
30005,10002,主演,主演
30105,10003,主演,主演
30051,10003,主演,主演
30124,10004,主演,主演
30060,10004,主演,主演
30068,10005,主演,主演
30123,10005,主演,主演
30150,10006,主演,主演
30098,10006,主演,主演
30084,10007,主演,主演
30102,10007,主演,主演
30110,10008,主演,主演
30099,10008,主演,主演
30046,10009,主演,主演
30139,10009,主演,主演
30131,10010,主演,主演
30120,10010,主演,主演
30085,10011,主演,主演
30039,10011,主演,主演
30052,10012,主演,主演
30154,10012,主演,主演
30153,10013,主演,主演
30038,10013,主演,主演
30156,10014,主演,主演
30065,10014,主演,主演
30113,10015,主演,主演
30018,10015,主演,主演
30161,10016,主演,主演
30136,10016,主演,主演
30137,10017,主演,主演
30025,10017,主演,主演
30060,10018,主演,主演
30137,10018,主演,主演
30069,10019,主演,主演
30048,10019,主演,主演
30061,10020,主演,主演
30117,10020,主演,主演
30133,10021,主演,主演
30014,10021,主演,主演
30000,10022,主演,主演
30125,10022,主演,主演
30024,10023,主演,主演
30059,10023,主演,主演
30158,10024,主演,主演
30140,10024,主演,主演
30110,10025,主演,主演
30147,10025,主演,主演
30107,10026,主演,主演
30027,10026,主演,主演
30172,10027,主演,主演
30092,10027,主演,主演
30070,10028,主演,主演
30053,10028,主演,主演
30138,10029,主演,主演
30026,10029,主演,主演
30106,10030,主演,主演
30151,10030,主演,主演
30015,10031,主演,主演
30041,10031,主演,主演
30049,10031,主演,主演
30163,10032,主演,主演
30126,10032,主演,主演
30082,10033,主演,主演
30091,10033,主演,主演
30058,10034,主演,主演
30057,10034,主演,主演
30050,10035,主演,主演
30089,10035,主演,主演
30144,10036,主演,主演
30006,10036,主演,主演
30108,10037,主演,主演
30002,10037,主演,主演
30079,10038,主演,主演
30127,10038,主演,主演
30174,10039,主演,主演
30116,10039,主演,主演
30048,10040,主演,主演
30008,10040,主演,主演
30104,10041,主演,主演
30055,10041,主演,主演
30088,10042,主演,主演
30077,10042,主演,主演
30145,10043,主演,主演
30062,10043,主演,主演
30022,10044,主演,主演
30030,10044,主演,主演
30169,10045,主演,主演
30119,10045,主演,主演
30037,10046,主演,主演
30173,10046,主演,主演
30082,10047,主演,主演
30078,10047,主演,主演
30035,10048,主演,主演
30134,10048,主演,主演
30087,10049,主演,主演
30013,10049,主演,主演
30115,10050,主演,主演
30001,10050,主演,主演
30080,10051,主演,主演
30071,10051,主演,主演
30130,10052,主演,主演
30093,10052,主演,主演
30060,10053,主演,主演
30164,10053,主演,主演
30141,10054,主演,主演
30160,10054,主演,主演
30009,10055,主演,主演
30019,10055,主演,主演
30159,10056,主演,主演
30020,10056,主演,主演
30045,10057,主演,主演
30072,10057,主演,主演
30024,10058,主演,主演
30165,10058,主演,主演
30146,10059,主演,主演
30063,10059,主演,主演
30121,10060,主演,主演
30028,10060,主演,主演
30095,10061,主演,主演
30171,10061,主演,主演
30128,10062,主演,主演
30157,10062,主演,主演
30129,10063,主演,主演
30054,10063,主演,主演
30094,10064,主演,主演
30012,10064,主演,主演
30061,10065,主演,主演
30155,10065,主演,主演
30022,10066,主演,主演
30004,10066,主演,主演
30097,10067,主演,主演
30003,10067,主演,主演
30170,10068,主演,主演
30017,10068,主演,主演
30086,10069,主演,主演
30118,10069,主演,主演
30166,10070,主演,主演
30064,10070,主演,主演
30048,10071,主演,主演
30045,10071,主演,主演
30142,10072,主演,主演
30034,10072,主演,主演
30066,10073,主演,主演
30112,10073,主演,主演
30167,10074,主演,主演
30081,10074,主演,主演
30136,10075,主演,主演
30075,10075,主演,主演
30136,10076,主演,主演
30040,10076,主演,主演
30096,10077,主演,主演
30143,10077,主演,主演
30148,10078,主演,主演
30042,10078,主演,主演
30114,10079,主演,主演
30021,10079,主演,主演
30109,10080,主演,主演
30032,10080,主演,主演
30102,10081,主演,主演
30073,10081,主演,主演
30023,10082,主演,主演
30101,10082,主演,主演
30100,10083,主演,主演
30007,10083,主演,主演
30033,10084,主演,主演
30076,10084,主演,主演
30102,10085,主演,主演
30103,10085,主演,主演
30132,10086,主演,主演
30043,10086,主演,主演
30044,10087,主演,主演
30011,10087,主演,主演
30016,10088,主演,主演
30047,10088,主演,主演
30136,10089,主演,主演
30076,10089,主演,主演
30149,10090,主演,主演
30162,10090,主演,主演
30010,10091,主演,主演
30168,10091,主演,主演
30036,10092,主演,主演
30152,10092,主演,主演
30122,10093,主演,主演
30067,10093,主演,主演
30029,10094,主演,主演
30031,10094,主演,主演
30046,10095,主演,主演
30042,10095,主演,主演
30087,10096,主演,主演
30135,10096,主演,主演
30083,10097,主演,主演
30084,10097,主演,主演
30137,10098,主演,主演
30090,10098,主演,主演
30020,10099,主演,主演
30074,10099,主演,主演
