:START_ID,:END_ID,relation,:TYPE
20006,10000,导演,导演
20012,10001,导演,导演
20057,10002,导演,导演
20048,10003,导演,导演
20017,10004,导演,导演
20066,10005,导演,导演
20002,10006,导演,导演
20025,10007,导演,导演
20012,10008,导演,导演
20064,10009,导演,导演
20042,10010,导演,导演
20000,10011,导演,导演
20072,10012,导演,导演
20049,10013,导演,导演
20050,10014,导演,导演
20047,10015,导演,导演
20031,10016,导演,导演
20018,10017,导演,导演
20017,10018,导演,导演
20043,10019,导演,导演
20041,10020,导演,导演
20047,10021,导演,导演
20042,10022,导演,导演
20058,10023,导演,导演
20012,10024,导演,导演
20012,10025,导演,导演
20074,10026,导演,导演
20039,10027,导演,导演
20020,10028,导演,导演
20014,10029,导演,导演
20027,10030,导演,导演
20044,10031,导演,导演
20021,10032,导演,导演
20051,10033,导演,导演
20059,10034,导演,导演
20037,10035,导演,导演
20050,10036,导演,导演
20029,10037,导演,导演
20050,10038,导演,导演
20067,10039,导演,导演
20001,10040,导演,导演
20013,10041,导演,导演
20026,10042,导演,导演
20065,10043,导演,导演
20055,10044,导演,导演
20032,10045,导演,导演
20070,10046,导演,导演
20051,10047,导演,导演
20068,10048,导演,导演
20072,10049,导演,导演
20060,10050,导演,导演
20028,10051,导演,导演
20010,10052,导演,导演
20073,10053,导演,导演
20052,10054,导演,导演
20040,10055,导演,导演
20016,10056,导演,导演
20076,10057,导演,导演
20005,10058,导演,导演
20050,10059,导演,导演
20030,10060,导演,导演
20071,10061,导演,导演
20061,10062,导演,导演
20022,10063,导演,导演
20056,10064,导演,导演
20041,10065,导演,导演
20038,10066,导演,导演
20063,10067,导演,导演
20019,10068,导演,导演
20033,10069,导演,导演
20054,10070,导演,导演
20001,10071,导演,导演
20034,10072,导演,导演
20045,10073,导演,导演
20004,10074,导演,导演
20031,10075,导演,导演
20031,10076,导演,导演
20009,10077,导演,导演
20015,10078,导演,导演
20016,10079,导演,导演
20007,10080,导演,导演
20071,10081,导演,导演
20053,10082,导演,导演
20004,10083,导演,导演
20023,10084,导演,导演
20035,10085,导演,导演
20046,10086,导演,导演
20068,10087,导演,导演
20061,10088,导演,导演
20075,10089,导演,导演
20036,10090,导演,导演
20001,10091,导演,导演
20024,10092,导演,导演
20003,10093,导演,导演
20008,10094,导演,导演
20069,10095,导演,导演
20006,10096,导演,导演
20025,10097,导演,导演
20011,10098,导演,导演
20062,10099,导演,导演
